1|7686695|1|768669
1|7686695|2|1077722528|1
1|7686695|2|1076906237|1
1|7686695|6|1076911283|1
1|1110454139|1|1110454139|1
1|1110454139|1|1079178201|1
1|1110454139|2|1079179021|1
1|1110454139|6|1076513489|1
1|7732154|1|7732154|1
1|7732154|1|1075223703|1
1|7732154|1|1077244570|1
1|7726947|1|7726947|1
1|7726947|1|55168174|1
1|7726947|2|1076906235|1
1|7726947|2|1076907527|1
1|7726947|6|1076917366|1
1|7726947|6|1076917367|1
1|7726947|1|12110961|1
1|7691272|1|7691272|1
1|7691272|1|26431712|1
1|7691272|2|1191126160|1
1|7691272|6|1077734943|1
